Price ID,Company ID (Seller),Legal ID,Company Name,Product ID,Shift ID,Price (Arg Pesos),Date,Year,Flag Company ID
1,1376,33643373829,10 DE SETIEMBRE S.A.,19,1,172.5,2022-10-01,2022,28
2,1376,33643373829,10 DE SETIEMBRE S.A.,19,2,172.5,2022-10-01,2022,28
3,1376,33643373829,10 DE SETIEMBRE S.A.,21,1,219,2022-10-01,2022,28
4,1376,33643373829,10 DE SETIEMBRE S.A.,21,2,219,2022-10-01,2022,28
5,1376,33643373829,10 DE SETIEMBRE S.A.,6,1,63.9,2022-09-05,2022,28
6,1376,33643373829,10 DE SETIEMBRE S.A.,6,2,63.9,2022-09-05,2022,28
7,1376,33643373829,10 DE SETIEMBRE S.A.,3,1,188.8,2022-10-01,2022,28
8,1376,33643373829,10 DE SETIEMBRE S.A.,3,2,189.8,2022-10-01,2022,28
9,1376,33643373829,10 DE SETIEMBRE S.A.,2,1,154.6,2022-10-01,2022,28
10,1376,33643373829,10 DE SETIEMBRE S.A.,2,2,154.6,2022-10-01,2022,28
11,9764,30715489313,25 ALVEAR S.R.L,19,1,353.2,2023-10-02,2023,4
12,9764,30715489313,25 ALVEAR S.R.L,19,2,353.2,2023-10-02,2023,4
13,9764,30715489313,25 ALVEAR S.R.L,21,1,452.2,2023-10-02,2023,4
14,9764,30715489313,25 ALVEAR S.R.L,21,2,452.2,2023-10-02,2023,4
15,9764,30715489313,25 ALVEAR S.R.L,3,1,396,2023-10-02,2023,4
16,9764,30715489313,25 ALVEAR S.R.L,3,2,396,2023-10-02,2023,4
17,9764,30715489313,25 ALVEAR S.R.L,2,1,319.5,2023-10-02,2023,4
18,9764,30715489313,25 ALVEAR S.R.L,2,2,319.5,2023-10-02,2023,4
19,8943,30712511687,1913 SRL,19,1,325.5,2023-10-24,2023,28
20,8943,30712511687,1913 SRL,19,2,325.5,2023-10-24,2023,28
21,8943,30712511687,1913 SRL,21,1,413,2023-10-24,2023,28
22,8943,30712511687,1913 SRL,21,2,413,2023-10-24,2023,28
