Company ID (Seller),Company Name,Address,City,Province,Region,Latitude,Longitude
1376,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,-34.658476,-58.529443
9764,25 ALVEAR S.R.L,9 Y 36 790,25 DE MAYO,BUENOS AIRES,PAMPEANA,-35.425,-60.16962
8943,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,PATAGONIA,-44.050662,-70.583041
9935,2MIL10Y7 SRL,Ruta 6 Km 155.500,LUJAN,BUENOS AIRES,PAMPEANA,-34.557095,-59.035694
1284,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,-33.67954,-65.46988
9405,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,-34.561286,-58.588248
9854,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,PAMPEANA,-34.492969,-58.498379
7544,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,PAMPEANA,-34.94349,-57.991692
2530,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,CENTRO,-33.46387,-61.49651
6661,501AGROPETROLERA CHAJARI S.R.L.,RUTA 14 KM 321,CHAJARI,ENTRE RIOS,CENTRO,-30.8185,-58.04425
10549,ACTION DUAL S.R.L,JUAN D. PERON 2330,BANFIELD,BUENOS AIRES,PAMPEANA,-34.74335,-58.43025
2842,72 GAS S.A.,CALLE 72  780,LA PLATA,BUENOS AIRES,PAMPEANA,-34.934754,-57.930919
6952,7 DE AGOSTO S.R.L.,ruta 22 km 1200,ALLEN,RIO NEGRO,PATAGONIA,-39.01556,-67.83639
2359,7 Y 511 S.A.,Av. 7 2060,LA PLATA,BUENOS AIRES,PAMPEANA,-34.883186,-57.992644
2306,9 DE JULIO COMBUSTIBLES SRL,AV. 9 DE JULIO 1501,RESISTENCIA,CHACO,NEA,-27.46301,-58.97305
6113,9 DE JULIO SERVICIOS SRL,9 DE JULIO 560,CONCEPCION DEL URUGUAY,ENTRE RIOS,CENTRO,-32.48409,-58.23017
1382,ABALSAMO EGIDIO,TRIUNVIRATO 3797,SAN MARTIN,BUENOS AIRES,PAMPEANA,-34.58127,-58.57441
7629,ABANILLAS II,Santa Fe 1005,LOMAS DE ZAMORA,BUENOS AIRES,PAMPEANA,-34.74571,-58.41872
1589,ABANILLAS S.A.,Las Heras 1740,LOMAS DE ZAMORA,BUENOS AIRES,PAMPEANA,-34.74712,-58.41938
